Orthogroup	uniProt.taxonomy_id_500485	53503-Pc.singCopy
OG0000026	Pc21g18520, Pc12g00830, Pc22g01350, Pc16g13310, Pc21g01050, Pc24g02140, Pc20g06320, Pc21g02460, Pc18g02880, Pc16g06570, Pc13g05100, Pc20g09760, Pc22g09490, Pc15g01130, Pc13g02050, Pc20g02460, Pc21g17370, Pc22g09500, Pc22g00670, Pc16g11010, Pc16g10970	53503-Pc.00g082510.m01.polypeptide.OG0002384
OG0000027	Pc21g23190	53503-Pc.00g017590.m01.polypeptide.OG0003157
OG0000027	Pc13g02020, Pc16g12970, Pc16g12360, Pc18g04830, Pc22g22500, Pc22g13930, Pc19g00450, Pc21g08510, Pc21g10460, Pc16g08460, Pc21g01400, Pc23g00940, Pc21g02320, Pc16g10990, Pc21g11540, Pc16g10230, Pc21g19650, Pc12g02470, Pc14g00190	53503-Pc.00g071430.m01.polypeptide.OG0003769
OG0000032	Pc18g02420	53503-Pc.00g101330.m01.polypeptide.OG0003230
OG0000032	Pc12g00360, Pc22g00750, Pc20g02590, Pc13g12570, Pc06g01540, Pc16g09420, Pc20g12670, PCH_Pc21g21390, Pc21g01710, Pc21g22530, Pc22g20400, Pc16g03850, Pc21g15480, Pc21g12630, Pc21g10790, Pc13g14330, Pc16g04690	53503-Pc.00g011390.m01.polypeptide.OG0002671
OG0000037	Pc20g13530	53503-Pc.00g002560.m01.polypeptide.OG0005618
OG0000037	Pc12g11110	53503-Pc.00g070590.m01.polypeptide.OG0005368
OG0000037	Pc20g10170, Pc22g15340, Pc12g03630, Pc21g13320, Pc22g14710, Pc06g01360, Pc21g23540, Pc22g08430, Pc16g08130, Pc22g19810, Pc16g03090, Pc21g18230, Pc22g24240, Pc18g01940	53503-Pc.00g022560.m01.polypeptide.OG0005474
OG0000045	Pc21g11170, Pc12g13400, Pc13g06100, Pc13g15360, Pc22g00570, Pc13g04140, Pc22g05160, Pc13g15690, Pc03g00230, Pc20g10790, Pc13g07240, Pc12g02650, Pc21g22490, Pc16g03070, Pc21g22430, Pc06g00560	53503-Pc.00g020290.m01.polypeptide.OG0002198
OG0000046	Pc12g14350, Pc18g04650, Pc22g02190, Pc12g12050, Pc16g08060, Pc22g05400, Pc14g00160, Pc20g10210, Pc22g09470, Pc15g00580, Pc16g10010, Pc20g14840, Pc22g01770, Pc13g14630, Pc13g06510, Pc06g01370	53503-Pc.00g044770.m01.polypeptide.OG0003255
OG0000047	Pc12g01140, Pc20g02490, Pc22g21400, Pc12g10630, Pc12g07100, Pc21g22820, Pc21g09020, Pc12g13440, Pc16g06960, Pc21g19580, Pc16g00450, Pc20g04010, Pc21g12260, Pc18g00530, Pc16g03140, Pc12g00370	53503-Pc.00g043670.m01.polypeptide.OG0005943
OG0000055	Pc21g02240, Pc20g09950, Pc18g01840, Pc24g02220, Pc22g22620, Pc12g11160, Pc15g00280, Pc20g10070, Pc21g23530, Pc22g26070, Pc18g04250, Pc21g20080, Pc16g13020, Pc21g12700	53503-Pc.00g043320.m01.polypeptide.OG0002877
OG0000056	Pc13g12270, Pc22g24780, PCH_Pc22g14900, Pc22g20270, Pc21g22010, Pc16g09930, Pc20g10840, Pc21g09470, Pc21g23730, Pc22g16410, Pc12g09980, Pc21g21960, Pc13g05130, PCH_Pc22g06680	53503-Pc.00g083910.m01.polypeptide.OG0003581
OG0000057	Pc13g12480, Pc13g05120, Pc16g06090, Pc20g01980, Pc16g14770, Pc21g02970, Pc21g12890, Pc15g01870, Pc21g02400, Pc21g22460, Pc21g00430, Pc16g13520, Pc13g03540, Pc22g07360	53503-Pc.00g079070.m01.polypeptide.OG0003607
OG0000062	Pc22g08540	53503-Pc.00g024760.m01.polypeptide.OG0006136
OG0000062	Pc12g03420, Pc18g00570, Pc13g13360, Pc13g12970, Pc21g02720, Pc16g15470, Pc21g21610, Pc16g14380, Pc20g13400, Pc20g05820, Pc14g01690	53503-Pc.00g046840.m01.polypeptide.OG0001996
OG0000063	Pc20g04730	53503-Pc.00g038050.m01.polypeptide.OG0002291
OG0000063	Pc22g20580	53503-Pc.00g015700.m01.polypeptide.OG0003362
OG0000063	Pc22g06560	53503-Pc.00g073020.m01.polypeptide.OG0005607
OG0000063	Pc22g06710, Pc12g06790, Pc22g20570, Pc21g12350, Pc22g03710, Pc22g11870	53503-Pc.00g023230.m01.polypeptide.OG0003500
OG0000064	Pc22g01670	53503-Pc.00g021530.m01.polypeptide.OG0005144
OG0000064	Pc16g08550, Pc20g09470, Pc12g09860, Pc20g10270, Pc12g05720, Pc20g00540, Pc13g12890, Pc06g01230, Pc13g07760, Pc13g11680, Pc22g03870	53503-Pc.00g094230.m01.polypeptide.OG0003786
OG0000065	Pc22g22800, Pc13g14940, Pc21g03960, Pc18g00360, Pc13g08570, Pc20g09360, Pc24g00570, Pc21g12600, Pc12g06300, Pc21g03920, Pc22g19860, Pc20g06860, Pc22g23280	53503-Pc.00g008180.m01.polypeptide.OG0004146
OG0000066	Pc13g15280, Pc12g02370, Pc22g08730, Pc20g14080, Pc22g18510, Pc22g17450, Pc20g07110, Pc20g13450, Pc13g08650, Pc16g13500, Pc12g12760, Pc18g06020, Pc12g06150	53503-Pc.00g088720.m01.polypeptide.OG0005917
OG0000073	Pc21g14230, Pc12g00200, Pc16g06360, Pc18g06290, Pc16g11690, Pc20g12840, Pc21g12880, Pc22g06210, Pc16g00190, Pc14g01090, Pc06g00300, Pc13g04520	53503-Pc.00g064570.m01.polypeptide.OG0002393
OG0000074	Pc16g11760	53503-Pc.00g018200.m01.polypeptide.OG0003766
OG0000074	Pc16g11770, Pc15g01200, Pc22g11880, Pc12g09750, Pc16g11780, Pc21g09420, Pc20g13100, Pc20g13110, Pc16g00100, Pc20g07360	53503-Pc.00g034490.m01.polypeptide.OG0005485
OG0000075	Pc16g00920	53503-Pc.00g058060.m01.polypeptide.OG0005025
OG0000075	Pc16g03910, Pc21g09210, Pc22g02380, Pc22g16930, Pc22g20360, Pc20g13940, Pc22g23420, Pc12g12370, Pc13g04290, Pc22g08990	53503-Pc.00g062790.m01.polypeptide.OG0006254
OG0000076	Pc13g08630, Pc13g09110, Pc24g00980, Pc12g03220, Pc22g08120, Pc16g11000, Pc18g01410, Pc22g04640, Pc21g09830, Pc21g10190, Pc16g03110, Pc16g08170	53503-Pc.00g004580.m01.polypeptide.OG0005887
OG0000077	Pc22g01790, Pc12g16390, Pc21g20160, Pc18g04170, Pc12g04490, Pc22g20390, Pc16g03870, Pc12g11510, Pc20g01220, PCH_Pc22g00470, Pc18g02530, PCH_Pc21g13720	53503-Pc.00g021440.m01.polypeptide.OG0006238
OG0000084	Pc13g10660, Pc12g09740, Pc16g11790, Pc13g09740, Pc21g09780, Pc22g23700, Pc22g15350, Pc20g15150, Pc13g01380, Pc22g23350, Pc22g00060	53503-Pc.00g003280.m01.polypeptide.OG0001787
OG0000085	Pc16g08210	53503-Pc.00g023260.m01.polypeptide.OG0003921
OG0000085	Pc21g10420	53503-Pc.00g048830.m01.polypeptide.OG0006140
OG0000085	Pc13g05230	53503-Pc.00g068270.m01.polypeptide.OG0003651
OG0000085	Pc16g02360	53503-Pc.00g086460.m01.polypeptide.OG0004082
OG0000085	Pc13g06710, Pc16g10890	53503-Pc.00g046010.m01.polypeptide.OG0002584
OG0000086	Pc12g14280, Pc12g13290, Pc22g18190, Pc21g12160, Pc21g17810, Pc22g11470, Pc22g00300, Pc22g18220, Pc22g24130, Pc22g19270, Pc18g01590	53503-Pc.00g044710.m01.polypeptide.OG0003262
OG0000087	Pc22g20340, Pc12g04240, Pc16g05650, Pc21g12220, Pc16g06340, Pc21g01220, Pc21g22660, Pc16g09600, Pc21g14500, Pc20g15580, Pc12g05170	53503-Pc.00g073710.m01.polypeptide.OG0004930
OG0000097	Pc12g16130, Pc22g01720, Pc22g04740, Pc06g02040, Pc21g14950, Pc22g20780, Pc21g10050, Pc13g08670, Pc13g13050, Pc20g10650	53503-Pc.00g005220.m01.polypeptide.OG0001733
OG0000098	Pc13g10080	53503-Pc.00g065000.m01.polypeptide.OG0001819
OG0000098	Pc22g09010	53503-Pc.00g062800.m01.polypeptide.OG0006253
OG0000098	Pc20g07530	53503-Pc.00g025070.m01.polypeptide.OG0004338
OG0000098	Pc14g01930	53503-Pc.00g089460.m01.polypeptide.OG0001991
OG0000098	Pc20g03060	53503-Pc.00g014020.m01.polypeptide.OG0005512
OG0000099	Pc20g06040	53503-Pc.00g056750.m01.polypeptide.OG0002269
OG0000099	Pc13g05760	53503-Pc.00g093810.m01.polypeptide.OG0004846
OG0000099	Pc13g02690	53503-Pc.00g084490.m01.polypeptide.OG0001955
OG0000099	Pex6, Pc22g14740, Pc13g09660	53503-Pc.00g018440.m01.polypeptide.OG0001839
OG0000100	Pc22g13320, Pc22g19240, Pc21g14130, Pc14g00320, Pc20g13950, Pc18g04990, Pc20g11290, Pc16g14640, Pc22g25500, Pc22g24180	53503-Pc.00g038830.m01.polypeptide.OG0003709
OG0000101	Pc22g13790, Pc16g11270, Pc16g06920, Pc21g19600, Pc22g19340, Pc21g18040, Pc12g03510, Pc20g02160, Pc20g09630, Pc21g09740	53503-Pc.00g046250.m01.polypeptide.OG0004968
OG0000102	Pc12g06930, Pc21g06300, Pc20g02400, Pc18g01930, Pc21g11670, Pc22g07320, Pc16g10390, Pc21g21650, Pc13g07960, Pc22g24990	53503-Pc.00g030160.m01.polypeptide.OG0005907
OG0000107	Pc20g05900, Pc22g17120, Pc16g04620, Pc18g01480, Pc21g12360, Pc21g23810, Pc20g03760, Pc23g00600, Pc12g05450	53503-Pc.00g087070.m01.polypeptide.OG0002259
OG0000108	Pc21g12640, Pc21g11250, Pc18g02700, Pc16g14660, Pc19g00550, Pc21g05320, Pc06g01000, Pc16g00220, Pc22g24760	53503-Pc.00g051030.m01.polypeptide.OG0002456
OG0000109	Pc21g08770, Pc20g01060, Pc21g08560, Pc13g05370, Pc21g16650, Pc20g05300, Pc18g04690, Pc22g16500, Pc20g14470	53503-Pc.00g000380.m01.polypeptide.OG0002499
OG0000110	Pc22g21900	53503-Pc.00g043580.m01.polypeptide.OG0002813
OG0000110	Pc13g03500, Pc13g02270, Pc12g10690, Pc22g07400, Pc22g17680, Pc20g02520, Pc14g01270	53503-Pc.00g032870.m01.polypeptide.OG0005043
OG0000111	Pc21g02760	53503-Pc.00g090020.m01.polypeptide.OG0006018
OG0000111	Pc22g09350	53503-Pc.00g087180.m01.polypeptide.OG0006063
OG0000111	Pc12g14430	53503-Pc.00g044840.m01.polypeptide.OG0003250
OG0000111	Pc21g20260, Pc16g08900	53503-Pc.00g050320.m01.polypeptide.OG0006243
OG0000112	Pc21g06210	53503-Pc.00g006710.m01.polypeptide.OG0003870
OG0000112	Pc21g20690	53503-Pc.00g004380.m01.polypeptide.OG0004575
OG0000112	Pc21g07140	53503-Pc.00g012260.m01.polypeptide.OG0003293
OG0000113	Pc21g07730, Pc12g13720, Pc22g05480, Pc13g09880, Pc15g01820, Pc18g05950, Pc13g06920, PCH_Pc21g21380, Pc21g01040	53503-Pc.00g026880.m01.polypeptide.OG0003474
OG0000114	Pc12g00650, Pc12g05790, Pc12g13100, Pc16g04320, Pc14g00730, Pc12g02210, Pc16g09590, Pc20g03260, Pc22g13630	53503-Pc.00g002250.m01.polypeptide.OG0003819
OG0000115	Pc22g15780, Pc21g17060, Pc13g08080, Pc18g03610, Pc18g01890, Pc21g10850, Pc16g04670, Pc21g12370, Pc21g08520	53503-Pc.00g024630.m01.polypeptide.OG0004544
OG0000116	Pc12g14360, Pc19g00140, Pc21g01370, Pc20g06250, Pc21g04930, Pc18g06330, Pc20g08480, Pc24g00740, Pc22g02020	53503-Pc.00g036070.m01.polypeptide.OG0006230
OG0000125	Pc22g25160, Pc13g00130, Pc13g09520, Pc14g01550, Pc20g02250, Pc15g00240, Pc22g13860, Pc21g00680	53503-Pc.00g030310.m01.polypeptide.OG0002546
OG0000126	Pc16g10320	53503-Pc.00g031690.m01.polypeptide.OG0002561
OG0000126	Pc21g01690, Pc13g06180, Pc20g08470, Pc22g12020, Pc13g06330, Pc12g08340	53503-Pc.00g019630.m01.polypeptide.OG0004676
OG0000127	Pc13g12330	53503-Pc.00g077240.m01.polypeptide.OG0002645
OG0000127	Pc16g11570, Pc13g13030, Pc20g14980, Pc13g10110, Pc12g01880, Pc21g17110	53503-Pc.00g026120.m01.polypeptide.OG0004914
OG0000128	PCH_Pc20g10350	53503-Pc.00g019330.m01.polypeptide.OG0002988
OG0000128	Pc22g00130, Pc21g12190, Pc22g00220, Pc22g19290, Pc21g18900, Pc18g00500	53503-Pc.00g049000.m01.polypeptide.OG0004292
OG0000129	Pc22g13600, Pc15g00530, Pc20g07320, Pc18g05800, Pc22g10000, Pc12g09320, Pc12g13210, Pc13g09730	53503-Pc.00g046100.m01.polypeptide.OG0003335
OG0000146	Pc20g05010, Pc13g12440, Pc19g00460, Pc22g09670, Pc21g05290, Pc19g00500, Pc13g10010	53503-Pc.00g065050.m01.polypeptide.OG0001823
OG0000147	Pc13g11880	53503-Pc.00g092930.m01.polypeptide.OG0003600
OG0000147	Pc22g14980, Pc12g00070, Pc16g14970, Pc22g21650, Pc13g13470	53503-Pc.00g081410.m01.polypeptide.OG0002667
OG0000148	Pc21g07250, Pc22g01260, Pc21g19820, Pc13g05590, Pc21g11550, Pc12g05140, Pc22g22060	53503-Pc.00g062610.m01.polypeptide.OG0002806
OG0000149	Pc22g05320, Pc21g05050, Pc15g01100, Pc16g09070, Pc21g03950, Pc23g00730, Pc14g00920	53503-Pc.00g026660.m01.polypeptide.OG0002936
OG0000150	Pc12g12910, Pc20g04270, Pc06g00650, Pc12g02040, Pc12g10800, Pc20g15730, Pc13g15920	53503-Pc.00g080890.m01.polypeptide.OG0003406
OG0000151	Pc21g20710	53503-Pc.00g004400.m01.polypeptide.OG0004576
OG0000151	Pc06g01180, Pc12g08530, Pc21g19000, Pc21g09440, Pc16g07560	53503-Pc.00g040840.m01.polypeptide.OG0003723
OG0000152	Pc12g04430, Pc12g09880, Pc20g11140, Pc20g03630, Pc16g07590, Pc21g00910, Pc13g06300	53503-Pc.00g083070.m01.polypeptide.OG0004168
OG0000153	Pc16g12980, Pc20g10430, Pc12g02310, Pc12g02680, Pc12g10550, Pc21g22080, Pc22g04940	53503-Pc.00g085200.m01.polypeptide.OG0004932
OG0000154	Pc20g03480, Pc22g22590, Pc16g07760, Pc22g07600, Pc18g00770, Pc22g01710, Pc16g00340	53503-Pc.00g014380.m01.polypeptide.OG0005495
OG0000155	Pc21g13580, Pc16g00660, Pc18g02890, Pc22g24720, Pc12g08370, Pc23g00620, Pc16g04530	53503-Pc.00g072680.m01.polypeptide.OG0005592
OG0000156	Pc12g11490, Pc12g01090, Pc20g04320, Pc12g01080, Pc21g23210, Pc20g12380, Pc13g13650	53503-Pc.00g031950.m01.polypeptide.OG0006429
OG0000171	Pc12g15990, Pc12g12120, Pc12g01300, Pc16g00910, Pc13g08840, Pc16g05100	53503-Pc.00g005090.m01.polypeptide.OG0001743
OG0000172	Pc22g24570, Pc22g09600, Pc22g01180, Pc12g03540, Pc03g00170, Pc18g05520	53503-Pc.00g035360.m01.polypeptide.OG0001907
OG0000173	Pc22g23460, Pc13g06000, Pc22g23040, Pc21g08040, Pc21g13060, Pc18g02150	53503-Pc.00g049550.m01.polypeptide.OG0001925
OG0000174	Pc22g13680, Pc16g14880, Pc21g07860, Pc22g24630, Pc20g15630, Pc13g02780	53503-Pc.00g084400.m01.polypeptide.OG0001962
OG0000175	Pc20g05860	53503-Pc.00g087040.m01.polypeptide.OG0002258
OG0000175	Pc16g12920	53503-Pc.00g092830.m01.polypeptide.OG0003095
OG0000175	Pc18g00760	53503-Pc.00g061740.m01.polypeptide.OG0003904
OG0000176	Pc22g07500, Pc12g00240, Pc21g05740, Pc20g06690, Pc22g08750, Pc12g01960	53503-Pc.00g081340.m01.polypeptide.OG0002307
OG0000177	Pc12g15560, Pc16g13580, Pc12g07690, Pc21g19570, Pc13g14440, Pc22g25130	53503-Pc.00g030280.m01.polypeptide.OG0002547
OG0000178	Pc16g00720, Pc12g08980, Pc20g13190, Pc12g06350, Pc21g15470, Pc20g09680	53503-Pc.00g034070.m01.polypeptide.OG0002685
OG0000179	Pc20g03010	53503-Pc.00g097130.m01.polypeptide.OG0006261
OG0000179	Pc12g14710	53503-Pc.00g073430.m01.polypeptide.OG0003242
OG0000179	Pc12g00210	53503-Pc.00g079940.m01.polypeptide.OG0004048, 53503-Pc.00g001880.m01.polypeptide.OG0004815
OG0000180	Pc12g13170, Pc21g22650, Pc20g02260, Pc22g09430, Pc14g01790, Pc20g09690	53503-Pc.00g047580.m01.polypeptide.OG0003394
OG0000181	Pc16g01060, Pc16g09520, Pc06g01530, Pc14g01070, Pc06g00260, Pc22g13640	53503-Pc.00g034960.m01.polypeptide.OG0003691
OG0000182	Pc22g13130, Pc22g23830, Pc22g19440, Pc22g23100, Pc22g00210, Pc16g03160	53503-Pc.00g011560.m01.polypeptide.OG0003696
OG0000183	Pc18g00790, Pc18g01320, Pc13g10620, Pc16g10190, Pc12g06200, Pc12g14390	53503-Pc.00g061760.m01.polypeptide.OG0003903
OG0000184	Pc20g07910, Pc18g01090, Pc21g12180, Pc13g11150, Pc21g22750, Pc18g03410	53503-Pc.00g045610.m01.polypeptide.OG0004308
OG0000185	Pc13g07560, Pc22g07720, Pc22g16660, Pc21g17690, Pc21g06000, Pc16g09940	53503-Pc.00g078710.m01.polypeptide.OG0004518
OG0000186	Pc13g07430, Pc18g02290, Pc16g10070, Pc22g11480, Pc22g14270, Pc22g19490	53503-Pc.00g060250.m01.polypeptide.OG0004526
OG0000187	Pc20g11010, Pc21g14740, Pc20g03020, Pc22g04730, Pc13g06190, Pc21g15310	53503-Pc.00g096080.m01.polypeptide.OG0004827
OG0000188	Pc14g00770	53503-Pc.00g044330.m01.polypeptide.OG0005786
OG0000188	Pc12g00610, Pc20g15530, Pc21g05860, Pc21g23740	53503-Pc.00g081090.m01.polypeptide.OG0005468
OG0000189	Pc22g07330, Pc12g09540, Pc13g01210, Pc12g16580, Pc21g17990, Pc18g02280	53503-Pc.00g022280.m01.polypeptide.OG0005530
OG0000190	Pc21g03120, Pc18g01860, Pc21g05590, Pc14g00970, Pc20g06660, Pc20g15540	53503-Pc.00g001650.m01.polypeptide.OG0006176
OG0000191	Pc18g05880, Pc16g11420, Pc21g02230, Pc16g00240, Pc16g02880, Pc12g10570	53503-Pc.00g028440.m01.polypeptide.OG0006341
OG0000208	Pc13g09680, Pc22g03580, Pc12g04620, Pc22g09440, Pc21g10910	53503-Pc.00g018430.m01.polypeptide.OG0001838
OG0000209	Pc21g04570, Pc16g04470, Pc20g11950, Pc22g22400, Pc16g05890	53503-Pc.00g075090.m01.polypeptide.OG0002060
OG0000210	Pc22g06820	53503-Pc.00g054260.m01.polypeptide.OG0005125
OG0000210	Pc15g00410, Pc13g12930, Pc21g04680	53503-Pc.00g075180.m01.polypeptide.OG0002066
OG0000211	Pc22g21590, Pc22g13340, Pc20g03670, Pc12g14590, Pc16g03250	53503-Pc.00g077110.m01.polypeptide.OG0002094
OG0000212	Pc12g02320, Pc20g15480, Pc16g03890, Pc16g11840, Pc16g03600	53503-Pc.00g083600.m01.polypeptide.OG0002301
OG0000213	Pc18g04680, Pc20g09640, Pc22g19220, Pc22g12700, Pc21g12950	53503-Pc.00g067610.m01.polypeptide.OG0002465
OG0000214	Pc22g14150	53503-Pc.00g047890.m01.polypeptide.OG0002774
OG0000214	Pc22g18740, Pc21g16950, Pc22g18730	53503-Pc.00g040420.m01.polypeptide.OG0004013
OG0000215	Pc21g17490, Pc16g11660, Pc21g17100, Pc21g22480, Pc21g21660	53503-Pc.00g052610.m01.polypeptide.OG0003065
OG0000216	Pc21g17740, Pc21g10670, Pc21g10680, Pc22g06920, Pc14g01390	53503-Pc.00g099970.m01.polypeptide.OG0003081
OG0000217	Pc22g21390, Pc21g09710, Pc18g00280, Pc13g10970, Pc16g13200	53503-Pc.00g069820.m01.polypeptide.OG0003193
OG0000218	Pc20g04740, Pc21g15010, Pc20g14040, Pc13g03450, Pc12g13160	53503-Pc.00g047570.m01.polypeptide.OG0003395
OG0000219	Pc13g12220, Pc20g01840, Pc20g07830, PchDS, Pc20g01860	53503-Pc.00g083960.m01.polypeptide.OG0003584
OG0000220	Pc13g05140, Pc21g05940, Pc13g14290, Pc24g02470, Pc22g26270	53503-Pc.00g068210.m01.polypeptide.OG0003648
OG0000221	Pc12g09690	53503-Pc.00g036480.m01.polypeptide.OG0003670
OG0000221	Pc21g10540, Pc16g06160, Pc23g00980	53503-Pc.00g079350.m01.polypeptide.OG0006204
OG0000222	Pc14g00170	53503-Pc.00g099690.m01.polypeptide.OG0003770
OG0000222	Pc13g04700	53503-Pc.00g098690.m01.polypeptide.OG0005670
OG0000222	Pc15g01880	53503-Pc.00g065750.m01.polypeptide.OG0005811
OG0000223	Pc20g12150, Pc20g15050, Pc22g00620, Pc16g10180, Pc22g07550	53503-Pc.00g021290.m01.polypeptide.OG0003831
OG0000224	Pc20g12600, Pc12g04210, Pc13g13410, Pc12g16430, Pc12g00180	53503-Pc.00g012690.m01.polypeptide.OG0003856
OG0000225	Pc21g08120, Pc12g00910, Pc22g24850, Pc20g07160, Pc22g24750	53503-Pc.00g074740.m01.polypeptide.OG0004060
OG0000226	Pc13g14210, Pc12g13130, Pc21g01390, Pc14g02050, Pc22g10310	53503-Pc.00g013930.m01.polypeptide.OG0004206
OG0000227	Pc13g14170, Pc15g01030, Pc22g18680, Pc22g09380, Pc16g00270	53503-Pc.00g013890.m01.polypeptide.OG0004209
OG0000228	Pc22g18700, Pc22g18690, Pc22g21550, Pc12g11090, Pc22g16540	53503-Pc.00g088550.m01.polypeptide.OG0004394
OG0000229	Pc22g01920	53503-Pc.00g100610.m01.polypeptide.OG0006234
OG0000229	Pc21g17780, Pc12g09210, Pc06g00840	53503-Pc.00g088320.m01.polypeptide.OG0004594
OG0000230	Pc21g01800	53503-Pc.00g073970.m01.polypeptide.OG0004723
OG0000230	Pc16g09130, Pc06g01210, Pc22g21930	53503-Pc.00g008550.m01.polypeptide.OG0004977
OG0000231	Pc22g02540, Pc20g08380, Pc20g10050, PCH_Pc21g03670, Pc13g15350	53503-Pc.00g082720.m01.polypeptide.OG0004754
OG0000232	Pc21g06670, Pc22g09990, Pc21g18050, Pc14g00350, Pc22g00890	53503-Pc.00g039870.m01.polypeptide.OG0004865
OG0000233	Pc24g03060, Pc12g15240, Pc16g14290, Pc24g03050, Pc22g09150	53503-Pc.00g088070.m01.polypeptide.OG0005431
OG0000234	Pc16g06140, Pc21g10550, Pc12g06430, Pc16g00630, Pc22g12340	53503-Pc.00g079370.m01.polypeptide.OG0006203
OG0000263	Pc22g24380	53503-Pc.00g028220.m01.polypeptide.OG0001915
OG0000263	Pc22g12730, Pc13g03700	53503-Pc.00g070040.m01.polypeptide.OG0004243
OG0000264	Pc22g24000, Pc21g11430, Pc22g19070, Pc20g02210	53503-Pc.00g050620.m01.polypeptide.OG0001950
OG0000265	Pc13g02680, Pc21g15760, Pc16g07630, Pc16g08240	53503-Pc.00g084500.m01.polypeptide.OG0001954
OG0000266	Pc21g01530	53503-Pc.00g092440.m01.polypeptide.OG0002027
OG0000266	Pc16g00880, Pc20g02190	53503-Pc.00g054800.m01.polypeptide.OG0002234
OG0000267	Pc18g05190, Pc16g13060, Pc22g10250, Pc22g19060	53503-Pc.00g028020.m01.polypeptide.OG0002078
