HOG	OG	Gene Tree Parent Clade	53503-Pc.singCopy	uniProt.taxonomy_id_500485
N0.HOG0000014	OG0000010	n0		Pc21g08740, Pc17g00690, Pc21g04830, Pc21g07680, Pc13g05880, Pc21g05500, Pc21g23910, Pc20g07620, Pc21g15170, Pc20g03880, Pc24g00610, Pc13g03570, Pc12g05610, Pc06g01990, Pc03g00160, Pc21g10900, Pc21g12380, Pc21g15410, Pc12g10890, Pc22g08800, Pc19g00220, Pc19g00580, Pc18g00250, Pc12g15330, Pc01g00040, Pc18g02640, Pc20g11160, Pc16g08520, Pc13g00650, Pc21g02700, Pc22g10670
N0.HOG0000015	OG0000011	n1	53503-Pc.00g049280.m01.polypeptide.OG0004073	Pc15g01140
N0.HOG0000016	OG0000011	n2	53503-Pc.00g064600.m01.polypeptide.OG0002395	Pc21g04180, Pc21g18730, Pc12g00230, Pc22g14420, Pc21g17720, Pc21g23860, Pc21g23830, Pc22g24960, Pc20g06200, Pc24g01020, Pc14g00400, Pc21g02850, Pc21g01310, Pc21g15850, Pc21g22680, Pc13g10030, Pc21g21950, Pc12g07760, Pc22g22420, Pc22g13520, Pc13g10900, Pc21g19730, Pc12g13550, Pc21g10440, Pc22g24160, Pc13g02280, Pc21g14260
N0.HOG0000017	OG0000012	n1	53503-Pc.00g083720.m01.polypeptide.OG0005873	Pc21g02650
N0.HOG0000018	OG0000012	n4		Pc22g15260, Pc12g13660
N0.HOG0000019	OG0000012	n6		Pc21g19920, Pc12g08900, Pc13g01370, Pc20g02480, Pc18g02670
N0.HOG0000020	OG0000012	n11		Pc20g02410, Pc13g03340, Pc14g01060, Pc13g01980, Pc13g07790
N0.HOG0000021	OG0000012	n16		Pc20g11520, Pc22g02810
N0.HOG0000022	OG0000012	n18		Pc16g05830, Pc20g02350, Pc22g25250
N0.HOG0000023	OG0000012	n21	53503-Pc.00g053290.m01.polypeptide.OG0002947	Pc22g10030
N0.HOG0000024	OG0000012	n22	53503-Pc.00g017880.m01.polypeptide.OG0004019	Pc22g24860, Pc22g17230, Pc18g02760, Pc14g01080, Pc14g01040, Pc06g00180, Pc21g22810
N0.HOG0000025	OG0000013	n1	53503-Pc.00g061060.m01.polypeptide.OG0004959	Pc22g13960
N0.HOG0000026	OG0000013	n2	53503-Pc.00g036570.m01.polypeptide.OG0003666	Pc21g05730, Pc20g03620, Pc13g11490, Pc13g06780, Pc22g16520, Pc21g05820, Pc16g12190, Pc22g23900, Pc21g11030, Pc20g02280, Pc22g22770, Pc12g02350, Pc22g07780, Pc22g25770, Pc21g17240, Pc20g14850, Pc16g09120, Pc21g05200, Pc22g06220, Pc16g07010, Pc16g03020, Pc22g09410, Pc22g22630, Pc21g05760, Pc20g13720, Pc12g09570
N0.HOG0000027	OG0000014	n0		Pc12g14880, Pc13g15980, Pc12g14250, Pc12g11700, Pc13g15590, Pc16g00140, Pc12g05120, Pc21g19660, Pc18g00150, Pc06g01340, Pc13g01990, Pc12g08710, Pc16g07310, Pc20g04760, Pc16g10240, Pc14g00490, Pc13g05090, Pc12g00850, Pc20g11460, Pc20g15720, Pc16g11220, Pc22g25040, Pc22g07470, Pc22g07810, Pc13g01350, Pc13g12700, Pc20g01780, Pc22g03020
N0.HOG0000028	OG0000015	n1	53503-Pc.00g096140.m01.polypeptide.OG0003765	Pc16g11650
N0.HOG0000029	OG0000015	n2	53503-Pc.00g040210.m01.polypeptide.OG0005727	Pc21g22770, Pc22g12240, Pc13g11540, Pc12g00890, Pc16g03630, Pc21g06640, Pc13g15950, Pc21g09400, Pc14g02090, Pc12g00380, Pc14g00960, Pc22g16590, Pc20g13590, Pc20g06240, Pc22g17220, Pc12g14670, Pc12g07090, Pc21g18790, Pc13g02240, Pc21g14060, Pc20g11180, Pc16g02210, Pc13g12800
N0.HOG0000030	OG0000016	n1	53503-Pc.00g031060.m01.polypeptide.OG0006208	Pc22g15100
N0.HOG0000031	OG0000016	n2	53503-Pc.00g016710.m01.polypeptide.OG0004988	Pc13g03300, Pc22g02240, Pc21g14020, Pc22g16190, PCH_Pc13g13710, Pc22g17140, Pc13g05180, Pc12g02500, Pc13g03760, PCH_Pc20g00360, Pc14g00150, Pc12g05510, Pc22g09290, Pc16g03940, Pc12g14370, PCH_Pc21g04450, Pc20g14880, Pc20g06640, Pc12g08690, Pc16g06890, Pc20g04210, Pc22g16860
N0.HOG0000032	OG0000017	n0		Pc24g01420, Pc22g26140, Pc24g02080, Pc23g00140, Pc24g00330, Pc17g01130, Pc23g00780, Pc14g02220, Pc24g02540, Pc16g15480, Pc16g15220, Pc19g00040, Pc24g02290, Pc24g02820, Pc11g00010, Pc24g00460, Pc15g00060, Pc33g00010, Pc20g15080, Pc13g01260, Pc24g01850, Pc16g15010, Pc19g00390, Pc24g01340, Pc21g00100
N0.HOG0000033	OG0000018	n0		Pc22g26440, Pc16g07130, Pc16g13850, Pc13g01040, Pc21g20060, Pc22g22720, Pc16g03660, Pc12g16110, Pc12g10160, Pc22g06120, Pc16g03080, Pc22g20550, Pc12g14730, Pc16g02190, Pc21g00930, Pc13g13640, Pc21g10040, Pc22g15840, Pc16g08610, Pc12g09120, Pc22g01800, Pc12g12920, Pc12g09680, Pc06g00240, Pc20g10670
N0.HOG0000034	OG0000019	n0		Pc21g03870, Pc22g19550, Pc13g11510, Pc21g22880, Pc20g05280, Pc14g01600, Pc12g07160, Pc12g04110, Pc12g06410, Pc12g10820, Pc21g19090, Pc20g03230, Pc20g13750, Pc21g20270, Pc22g25180, Pc12g02760, Pc16g09450, Pc21g23520, Pc16g03680, Pc22g24930, Pc16g10620, Pc12g10140, Pc22g19310, Pc21g21550, Pc21g18910
N0.HOG0000035	OG0000020	n0		Pc24g02060, Pc21g00500, Pc21g00080, Pc17g00860, Pc24g01140, Pc24g02460, Pc13g00480, Pc23g00240, Pc17g00560, Pc17g01260, Pc24g02310, Pc24g01660, Pc16g15500, Pc23g00160, Pc17g01150, Pc14g02190, Pc24g00710, Pc23g00800, Pc24g01430, Pc16g15240, Pc24g01360, Pc24g01150, Pc16g14850, Pc22g26230, Pc24g00350
N0.HOG0000036	OG0000021	n0		Pc21g13350, Pc16g03010, Pc21g11020, Pc12g06320, Pc20g09930, Pc21g05780, Pc16g00310, Pc12g14170, Pc22g14670, Pc12g13000, Pc21g05110, Pc13g11230, Pc21g09510, Pc20g13440, Pc22g16510, Pc22g22660, Pc20g02270, Pc21g21500, Pc21g02500, Pc16g09430, Pc22g24870, Pc22g07580, Pc21g12590, Pc18g05530
N0.HOG0000037	OG0000022	n0		Pc13g02290, Pc09g00020, Pc20g09220, Pc20g06570, Pc20g02380, Pc21g19640, Pc18g02690, Pc20g02500, Pc22g17630, Pc21g23800, Pc13g04540, Pc21g05090, Pc21g12810, Pc13g04200, Pc13g10600, Pc22g09250, Pc22g06450, Pc16g03560, Pc16g14530, Pc13g14910, Pc16g06860, Pc21g13820, Pc20g03000, Pc16g11020
N0.HOG0000038	OG0000023	n0	53503-Pc.00g085250.m01.polypeptide.OG0003943	Pc12g14040, Pc21g13990, Pc21g01340, Pc21g04040, Pc20g01850, Pc22g22890, Pc12g13750, Pc21g13970, Pc21g15460, Pc16g10840, Pc22g07270, Pc12g07370, Pc16g07100, Pc15g00910, Pc21g05060, Pc22g18380, Pc22g17670, Pc21g10230, Pc21g12910, Pc20g04890, Pc16g09880, Pc20g06550
N0.HOG0000039	OG0000024	n0		Pc21g07610, Pc16g10590, Pc21g06750, Pc20g09780, Pc13g14560, Pc22g12570, Pc22g07710, Pc13g11920, Pc13g04730, Pc15g01150, Pc18g01210, Pc16g04900, Pc13g15150, Pc20g15190, Pc12g08320, Pc18g00780, Pc13g07120, Pc18g05210, Pc14g00210, Pc16g03700, Pc22g01960, Pc13g13060, Pc12g15710
N0.HOG0000040	OG0000025	n0		Pc12g13140, Pc21g03010, Pc21g00660, Pc21g10880, Pc13g07640, Pc12g09730, Pc18g01140, Pc24g00470, Pc20g14340, Pc22g00490, Pc16g04020, Pc13g13300, Pc16g06830, Pc18g00680, Pc21g04920, Pc22g18940, Pc21g21640, Pc16g11740, Pc16g13150, Pc21g17190, Pc21g12270, Pc16g11720, Pc21g00650
N0.HOG0000041	OG0000026	n0	53503-Pc.00g082510.m01.polypeptide.OG0002384	Pc21g18520, Pc12g00830, Pc22g01350, Pc16g13310, Pc21g01050, Pc24g02140, Pc20g06320, Pc21g02460, Pc18g02880, Pc16g06570, Pc13g05100, Pc20g09760, Pc22g09490, Pc15g01130, Pc13g02050, Pc20g02460, Pc21g17370, Pc22g09500, Pc22g00670, Pc16g11010, Pc16g10970
N0.HOG0000042	OG0000027	n1	53503-Pc.00g017590.m01.polypeptide.OG0003157	Pc21g23190
N0.HOG0000043	OG0000027	n2	53503-Pc.00g071430.m01.polypeptide.OG0003769	Pc13g02020, Pc16g12970, Pc16g12360, Pc18g04830, Pc22g22500, Pc22g13930, Pc19g00450, Pc21g08510, Pc21g10460, Pc16g08460, Pc21g01400, Pc23g00940, Pc21g02320, Pc16g10990, Pc21g11540, Pc16g10230, Pc21g19650, Pc12g02470, Pc14g00190
N0.HOG0000044	OG0000028	n0		Pc18g05600, Pc21g15030, Pc24g00540, Pc16g02960, Pc22g00480, Pc16g04030, Pc21g09290, Pc21g00640, Pc06g01390, Pc21g12280, Pc12g04050, Pc22g20530, Pc22g22350, Pc12g12360, Pc21g21670, Pc22g06200, Pc16g11730, Pc16g14610, Pc13g01970, Pc06g01440, Pc22g21140, Pc24g00410
N0.HOG0000045	OG0000029	n0		Pc16g12900, Pc12g09560, Pc20g04660, Pc21g18460, Pc12g03470, Pc20g10320, Pc22g10610, Pc22g25140, Pc21g09720, Pc16g02060, Pc13g13930, Pc22g21420, Pc20g13070, Pc22g02650, Pc20g09830, Pc16g03710, Pc20g11370, Pc21g21200, Pc20g10640, Pc22g18800, Pc22g19680, Pc13g12360
N0.HOG0000046	OG0000030	n0		Pc18g00700, Pc13g12920, Pc18g01600, Pc16g00520, Pc16g08150, Pc12g13530, Pc13g10880, Pc12g12800, Pc12g04960, Pc22g10990, Pc13g03830, Pc16g05950, Pc22g19610, Pc12g03300, Pc22g04540, Pc13g08510, Pc18g06130, Pc18g06120, Pc22g03880, Pc20g03750, Pc21g05880, Pc21g09670
N0.HOG0000047	OG0000031	n0		Pc21g06840, Pc18g06550, Pc15g01620, Pc21g03660, Pc06g01980, Pc19g00570, Pc16g07420, Pc17g00310, Pc23g00560, Pc14g00460, Pc23g00570, Pc16g14930, Pc22g03640, Pc13g01060, Pc24g02360, Pc24g02780, Pc19g00700, Pc24g02350, Pc24g02790, Pc24g01200, Pc04g00060
N0.HOG0000048	OG0000032	n1	53503-Pc.00g101330.m01.polypeptide.OG0003230	Pc18g02420
N0.HOG0000049	OG0000032	n2	53503-Pc.00g011390.m01.polypeptide.OG0002671	Pc12g00360, Pc22g00750, Pc20g02590, Pc13g12570, Pc06g01540, Pc16g09420, Pc20g12670, PCH_Pc21g21390, Pc21g01710, Pc21g22530, Pc22g20400, Pc16g03850, Pc21g15480, Pc21g12630, Pc21g10790, Pc13g14330, Pc16g04690
N0.HOG0000050	OG0000033	n0		Pc16g07070, Pc22g09610, Pc12g13860, Pc21g03970, Pc22g14040, Pc16g04630, Pc20g09560, Pc16g07390, Pc12g00010, Pc22g09400, Pc16g02950, Pc21g21110, Pc13g08640, Pc14g00990, Pc22g10020, Pc12g06610, Pc20g04990, Pc22g07790, Pc22g09460, Pc13g13730
N0.HOG0000051	OG0000034	n0		Pc16g09270, Pc12g02340, Pc06g02270, Pc06g02260, Pc29g00010, Pc38g00010, Pc13g00050, Pc20g14870, Pc22g20450, Pc12g09090, Pc19g00360, Pc24g01990, Pc13g01300, Pc13g01280, Pc22g26400, Pc16g09510, Pc06g02300, Pc12g05560, Pc16g10430, Pc16g09090
N0.HOG0000052	OG0000035	n0		Pc21g04790, Pc21g16670, Pc22g21350, Pc16g09810, Pc13g07950, Pc09g00050, Pc22g21190, Pc22g13080, Pc13g01030, Pc13g10420, Pc12g03740, Pc23g00670, Pc22g26510, Pc18g03150, Pc22g10170, Pc22g06670, Pc18g04160, Pc16g07180, Pc22g01160, Pc16g02850
N0.HOG0000053	OG0000036	n0		Pc20g14000, Pc18g05000, Pc20g04700, Pc20g13740, Pc22g25590, Pc13g09820, Pc21g22620, Pc22g15130, Pc09g00080, Pc13g15900, Pc13g00980, Pc16g15300, Pc21g21360, Pc13g00220, Pc13g00600, Pc13g00190, Pc13g00660, Pc13g00620, Pc18g00340, Pc12g00510
N0.HOG0000054	OG0000037	n1	53503-Pc.00g002560.m01.polypeptide.OG0005618	Pc20g13530
N0.HOG0000055	OG0000037	n3	53503-Pc.00g070590.m01.polypeptide.OG0005368	Pc12g11110
N0.HOG0000056	OG0000037	n4	53503-Pc.00g022560.m01.polypeptide.OG0005474	Pc20g10170, Pc22g15340, Pc12g03630, Pc21g13320, Pc22g14710, Pc06g01360, Pc21g23540, Pc22g08430, Pc16g08130, Pc22g19810, Pc16g03090, Pc21g18230, Pc22g24240, Pc18g01940
N0.HOG0000057	OG0000038	n0		Pc23g00880, Pc24g00290, Pc22g26740, Pc24g00930, Pc09g00160, Pc23g00100, Pc19g00770, Pc17g00160, Pc19g00270, Pc22g27120, Pc09g00390, Pc24g03270, Pc16g15110, Pc04g00130, Pc22g26530, Pc24g00100, Pc07g00130, Pc17g00910, Pc21g00170
N0.HOG0000058	OG0000039	n0		Pc12g00870, Pc22g01330, Pc22g06500, Pc20g10310, Pc22g07830, Pc22g06610, Pc20g13430, Pc16g01800, Pc21g16810, Pc21g22710, Pc20g10730, Pc16g06980, Pc06g01080, Pc21g01720, Pc22g00200, Pc21g10470, Pc15g01370, Pc22g07260, Pc22g01640
N0.HOG0000059	OG0000040	n0		Pc16g08630, Pc16g11810, Pc22g02250, Pc21g14030, Pc13g03080, Pc13g03090, Pc13g03070, Pc22g01650, Pc22g04500, Pc21g12400, Pc13g04210, Pc21g08210, Pc22g09590, Pc22g14590, Pc22g23690, Pc16g05310, Pc16g08200, Pc16g02890, Pc21g15830
N0.HOG0000060	OG0000041	n0		Pc21g00120, Pc22g26030, Pc17g00890, Pc24g00900, Pc16g15410, Pc23g00290, Pc24g02100, Pc24g02840, Pc14g02240, Pc24g00440, Pc22g26770, Pc03g00140, Pc24g00070, Pc23g00120, Pc22g26300, Pc24g00680, Pc04g00110, Pc24g01830
N0.HOG0000061	OG0000042	n0		Pc20g06600, Pc13g13660, Pc16g08620, Pc06g00530, Pc16g07610, Pc16g05960, Pc20g04510, Pc20g09370, Pc20g09620, Pc21g09790, Pc22g21910, Pc22g04530, Pc16g00730, Pc21g14210, Pc16g00860, Pc16g13510, Pc12g14080, Pc21g22340
N0.HOG0000062	OG0000043	n0		Pc16g06930, Pc06g01170, Pc21g17230, Pc16g00690, Pc21g21130, Pc16g10670, Pc21g19560, Pc16g11250, Pc16g10130, Pc14g01010, Pc22g16830, Pc13g02030, Pc16g04560, Pc22g06180, Pc16g04510, Pc13g14930, Pc22g22790, Pc16g06910
N0.HOG0000063	OG0000044	n0		Pc24g02300, Pc16g15490, Pc17g01140, Pc23g00150, Pc24g01860, Pc24g02530, Pc17g00570, Pc16g15230, Pc21g00060, Pc14g02140, Pc06g02440, Pc13g01310, Pc13g00460, Pc22g25830, Pc14g02210, Pc24g00340, Pc24g01350, Pc21g00090
N0.HOG0000064	OG0000045	n0	53503-Pc.00g020290.m01.polypeptide.OG0002198	Pc21g11170, Pc12g13400, Pc13g06100, Pc13g15360, Pc22g00570, Pc13g04140, Pc22g05160, Pc13g15690, Pc03g00230, Pc20g10790, Pc13g07240, Pc12g02650, Pc21g22490, Pc16g03070, Pc21g22430, Pc06g00560
N0.HOG0000065	OG0000046	n0	53503-Pc.00g044770.m01.polypeptide.OG0003255	Pc12g14350, Pc18g04650, Pc22g02190, Pc12g12050, Pc16g08060, Pc22g05400, Pc14g00160, Pc20g10210, Pc22g09470, Pc15g00580, Pc16g10010, Pc20g14840, Pc22g01770, Pc13g14630, Pc13g06510, Pc06g01370
N0.HOG0000066	OG0000047	n0	53503-Pc.00g043670.m01.polypeptide.OG0005943	Pc12g01140, Pc20g02490, Pc22g21400, Pc12g10630, Pc12g07100, Pc21g22820, Pc21g09020, Pc12g13440, Pc16g06960, Pc21g19580, Pc16g00450, Pc20g04010, Pc21g12260, Pc18g00530, Pc16g03140, Pc12g00370
N0.HOG0000067	OG0000048	n0		Pc12g09900, PCH_Pc22g17530, Pc16g11470, Pc21g05660, Pc16g05880, Pc16g00800, Pc20g12260, Pc22g14600, Pc22g13800, Pc16g12910, Pc12g00440, Pc13g07840, Pc16g12640, Pc20g05090, Pc22g22840, Pc12g00190, Pc12g12710
N0.HOG0000068	OG0000049	n0		Pc24g02420, Pc21g00330, Pc19g00750, Pc21g03650, Pc23g00930, Pc17g00520, Pc04g00030, Pc24g01370, Pc24g00890, Pc24g02380, Pc17g00820, Pc24g03070, Pc24g01100, Pc24g02130, Pc21g00480, Pc03g00250, Pc24g02930
N0.HOG0000069	OG0000050	n0		Pc24g03260, Pc24g00110, Pc04g00150, Pc22g27100, Pc17g00920, Pc09g00380, Pc22g26540, Pc21g00180, Pc24g03250, Pc16g15120, Pc14g02330, Pc17g00050, Pc22g26730, Pc21g00410, Pc23g00090, Pc09g00170, Pc24g00940
N0.HOG0000070	OG0000051	n0		Pc13g06520, Pc21g09200, Pc21g09380, Pc22g23540, Pc21g08920, Pc22g06170, Pc21g12150, Pc22g00110, Pc21g18620, Pc18g03060, Pc06g01670, Pc21g04610, Pc13g11860, Pc17g00800, Pc22g22650, Pc18g05700, Pc20g05270
N0.HOG0000071	OG0000052	n0		Pc12g14850, Pc12g09710, Pc14g01590, Pc21g17800, Pc16g15440, Pc22g17980, Pc22g18000, Pc19g00650, Pc12g08080, Pc12g08520, Pc21g02340, Pc21g02350, Pc18g03920, Pc24g02640, Pc17g00200, Pc22g01820, Pc22g06280
N0.HOG0000072	OG0000053	n0		Pc13g11110, Pc16g10140, Pc16g08180, Pc16g01070, Pc22g00050, Pc16g02700, Pc06g01190, Pc22g07340, Pc16g05270, Pc21g05840, Pc13g12410, Pc21g23510, Pc21g12340, Pc22g06580, Pc15g01860, Pc16g10860
N0.HOG0000073	OG0000054	n0		Pc12g05440, Pc06g01480, Pc12g14140, Pc16g05700, Pc15g00030, Pc12g04410, Pc13g08230, Pc22g14530, Pc16g08490, Pc22g07870, Pc20g12640, Pc22g21260, Pc12g07880, Pc12g01810, Pc16g05240, Pc12g00780
N0.HOG0000074	OG0000055	n0	53503-Pc.00g043320.m01.polypeptide.OG0002877	Pc21g02240, Pc20g09950, Pc18g01840, Pc24g02220, Pc22g22620, Pc12g11160, Pc15g00280, Pc20g10070, Pc21g23530, Pc22g26070, Pc18g04250, Pc21g20080, Pc16g13020, Pc21g12700
N0.HOG0000075	OG0000056	n0	53503-Pc.00g083910.m01.polypeptide.OG0003581	Pc13g12270, Pc22g24780, PCH_Pc22g14900, Pc22g20270, Pc21g22010, Pc16g09930, Pc20g10840, Pc21g09470, Pc21g23730, Pc22g16410, Pc12g09980, Pc21g21960, Pc13g05130, PCH_Pc22g06680
N0.HOG0000076	OG0000057	n0	53503-Pc.00g079070.m01.polypeptide.OG0003607	Pc13g12480, Pc13g05120, Pc16g06090, Pc20g01980, Pc16g14770, Pc21g02970, Pc21g12890, Pc15g01870, Pc21g02400, Pc21g22460, Pc21g00430, Pc16g13520, Pc13g03540, Pc22g07360
N0.HOG0000077	OG0000058	n0		Pc22g16340, Pc13g13880, Pc13g13580, Pc20g02430, Pc21g07850, Pc22g09220, Pc21g21560, Pc16g11060, Pc18g05350, Pc22g07510, Pc21g00040, Pc20g15550, Pc16g03520, Pc22g18780, Pc13g12690
N0.HOG0000078	OG0000059	n0		Pc22g26590, Pc09g00330, Pc07g00080, Pc04g00180, Pc24g00170, Pc16g15170, Pc17g00970, Pc21g00220, Pc24g03200, Pc22g26890, Pc13g00360, Pc39g00010, Pc31g00010, Pc13g00930, Pc13g00920
N0.HOG0000079	OG0000060	n0		Pc21g03060, Pc13g02140, Pc21g17210, Pc21g23020, Pc21g17180, Pc21g09890, Pc13g03100, Pc21g20610, Pc21g08820, Pc06g00940, Pc16g06790, Pc12g03600, Pc20g01170, Pc20g01990, Pc16g15070
N0.HOG0000080	OG0000061	n0		Pc13g15160, Pc16g10210, Pc16g03100, Pc16g05720, Pc22g26430, Pc24g00780, Pc22g26420, Pc13g04820, Pc24g01310, Pc13g04830, Pc16g13190, Pc22g14550, Pc22g01320, Pc21g04140, Pc16g00110
N0.HOG0000081	OG0000062	n1	53503-Pc.00g024760.m01.polypeptide.OG0006136	Pc22g08540
N0.HOG0000082	OG0000062	n2	53503-Pc.00g046840.m01.polypeptide.OG0001996	Pc12g03420, Pc18g00570, Pc13g13360, Pc13g12970, Pc21g02720, Pc16g15470, Pc21g21610, Pc16g14380, Pc20g13400, Pc20g05820, Pc14g01690
