"KEGG pathway ID"	"KEGG pathway name"	"KEGG main category"	"Gene ID(s)"	"Exact p-value"	"Adjusted p-value"	"# genes / category"	"# genes / input"
"04144"	"Endocytosis"	"Cellular Processes"	"Pc12g16060 | Pc13g06600 | Pc22g06760"	"0.2856377"	"0.7730672"	"3 / 21"	"3 / 276"
"00790"	"Folate biosynthesis"	"Metabolism"	"Pc22g19630"	"0.3118342"	"0.7730672"	"1 / 4"	"1 / 276"
"00040"	"Pentose and glucuronate interconversions"	"Metabolism"	"Pc12g00550"	"0.3118342"	"0.7730672"	"1 / 4"	"1 / 276"
"04111"	"Cell cycle - yeast"	"Cellular Processes"	"Pc16g01160 | Pc16g10450 | Pc21g10710 | Pc21g14880 | Pc21g15650 | Pc22g02330"	"0.330536"	"0.7730672"	"6 / 53"	"6 / 276"
"00030"	"Pentose phosphate pathway"	"Metabolism"	"Pc12g00550 | Pc22g25470"	"0.3919805"	"0.7730672"	"2 / 15"	"2 / 276"
"04120"	"Ubiquitin mediated proteolysis"	"Genetic Information Processing"	"Pc12g08100 | Pc21g02440 | Pc22g21450"	"0.4376077"	"0.7730672"	"3 / 27"	"3 / 276"
"04146"	"Peroxisome"	"Cellular Processes"	"Pc16g02790 | Pc20g11150"	"0.456168"	"0.7730672"	"2 / 17"	"2 / 276"
"00260"	"Glycine, serine and threonine metabolism"	"Metabolism"	"Pc16g02790 | Pc20g04020"	"0.456168"	"0.7730672"	"2 / 17"	"2 / 276"
"00510"	"N-Glycan biosynthesis"	"Metabolism"	"Pc16g12320 | Pc21g05240"	"0.456168"	"0.7730672"	"2 / 17"	"2 / 276"
"00750"	"Vitamin B6 metabolism"	"Metabolism"	"Pc20g04020"	"0.4806249"	"0.7730672"	"1 / 7"	"1 / 276"
"00600"	"Sphingolipid metabolism"	"Metabolism"	"Pc22g13200"	"0.4806249"	"0.7730672"	"1 / 7"	"1 / 276"
"00380"	"Tryptophan metabolism"	"Metabolism"	"Pc13g15680"	"0.4806249"	"0.7730672"	"1 / 7"	"1 / 276"
"00240"	"Pyrimidine metabolism"	"Metabolism"	"Pc13g07420 | Pc15g00490 | Pc16g12690 | Pc21g01810"	"0.4846528"	"0.7730672"	"4 / 40"	"4 / 276"
"03013"	"RNA transport"	"Genetic Information Processing"	"Pc13g04070 | Pc16g01720 | Pc21g13600 | Pc21g16240 | Pc22g19890 | Pc22g23570"	"0.4979882"	"0.7730672"	"6 / 63"	"6 / 276"
"00970"	"Aminoacyl-tRNA biosynthesis"	"Genetic Information Processing"	"Pc12g04280 | Pc22g02510"	"0.5163854"	"0.7730672"	"2 / 19"	"2 / 276"
"00630"	"Glyoxylate and dicarboxylate metabolism"	"Metabolism"	"Pc16g02790"	"0.5272283"	"0.7730672"	"1 / 8"	"1 / 276"
"00190"	"Oxidative phosphorylation"	"Metabolism"	"Pc12g12260 | Pc13g08280 | Pc13g14670 | Pc21g12120"	"0.5441373"	"0.7730672"	"4 / 43"	"4 / 276"
"03008"	"Ribosome biogenesis in eukaryotes"	"Genetic Information Processing"	"Pc15g00080 | Pc16g01720 | Pc20g09320 | Pc22g23570"	"0.5441373"	"0.7730672"	"4 / 43"	"4 / 276"
"00250"	"Alanine, aspartate and glutamate metabolism"	"Metabolism"	"Pc16g02790"	"0.5696959"	"0.7730672"	"1 / 9"	"1 / 276"
"00020"	"Citrate cycle (TCA cycle)"	"Metabolism"	"Pc21g20490"	"0.5696959"	"0.7730672"	"1 / 9"	"1 / 276"
"00670"	"One carbon pool by folate"	"Metabolism"	"Pc22g19100"	"0.5696959"	"0.7730672"	"1 / 9"	"1 / 276"
"00330"	"Arginine and proline metabolism"	"Metabolism"	"Pc13g05550"	"0.5696959"	"0.7730672"	"1 / 9"	"1 / 276"
"04130"	"SNARE interactions in vesicular transport"	"Genetic Information Processing"	"Pc21g13560"	"0.6083906"	"0.7730672"	"1 / 10"	"1 / 276"
"00680"	"Methane metabolism"	"Metabolism"	"Pc16g02790"	"0.6083906"	"0.7730672"	"1 / 10"	"1 / 276"
"03410"	"Base excision repair"	"Genetic Information Processing"	"Pc13g07420"	"0.6083906"	"0.7730672"	"1 / 10"	"1 / 276"
"00051"	"Fructose and mannose metabolism"	"Metabolism"	"Pc12g09190"	"0.643644"	"0.7730672"	"1 / 11"	"1 / 276"
"00500"	"Starch and sucrose metabolism"	"Metabolism"	"Pc22g04100"	"0.643644"	"0.7730672"	"1 / 11"	"1 / 276"
"01230"	"Biosynthesis of amino acids"	"Metabolism"	"Pc12g00550 | Pc13g05550 | Pc13g06020 | Pc20g04020"	"0.6517799"	"0.7730672"	"4 / 49"	"4 / 276"
"01200"	"Carbon metabolism"	"Metabolism"	"Pc12g00550 | Pc16g02790 | Pc22g25470"	"0.6568715"	"0.7730672"	"3 / 37"	"3 / 276"
"00230"	"Purine metabolism"	"Metabolism"	"Pc13g07420 | Pc13g08270 | Pc16g12690 | Pc22g19100"	"0.6680301"	"0.7730672"	"4 / 50"	"4 / 276"
"00520"	"Amino sugar and nucleotide sugar metabolism"	"Metabolism"	"Pc12g09190 | Pc22g23800"	"0.6693905"	"0.7730672"	"2 / 25"	"2 / 276"
"03018"	"RNA degradation"	"Genetic Information Processing"	"Pc12g07260 | Pc13g11030"	"0.6907771"	"0.7730672"	"2 / 26"	"2 / 276"
"01110"	"Biosynthesis of secondary metabolites"	"Metabolism"	"Pc12g00550 | Pc12g09190 | Pc13g05550 | Pc13g06020 | Pc16g02790 | Pc21g20490 | Pc22g15550 | Pc22g19100 | Pc22g23800 | Pc22g25470"	"0.7106759"	"0.7730672"	"10 / 126"	"10 / 276"
"03015"	"mRNA surveillance pathway"	"Genetic Information Processing"	"Pc13g04070 | Pc21g11350"	"0.7110306"	"0.7730672"	"2 / 27"	"2 / 276"
"04140"	"Regulation of autophagy"	"Cellular Processes"	"Pc20g08610"	"0.7316529"	"0.7730672"	"1 / 14"	"1 / 276"
"03020"	"RNA polymerase"	"Genetic Information Processing"	"Pc16g12690"	"0.7316529"	"0.7730672"	"1 / 14"	"1 / 276"
"04011"	"MAPK signaling pathway - yeast"	"Environmental Information Processing"	"Pc16g10360"	"0.7559152"	"0.7839121"	"1 / 15"	"1 / 276"
"00270"	"Cysteine and methionine metabolism"	"Metabolism"	"Pc13g06020"	"0.778008"	"0.7921536"	"1 / 16"	"1 / 276"
"01100"	"Metabolic pathways"	"Metabolism"	"Pc12g00550 | Pc12g07280 | Pc12g09190 | Pc12g12260 | Pc13g05550 | Pc13g06020 | Pc13g07420 | Pc13g08270 | Pc13g08280 | Pc13g14670 | Pc13g15680 | Pc15g00490 | Pc16g02790 | Pc16g12320 | Pc16g12690 | Pc20g03200 | Pc20g04020 | Pc21g01810 | Pc21g05240 | Pc21g12120 | Pc21g20490 | Pc22g13200 | Pc22g15550 | Pc22g19100 | Pc22g19630 | Pc22g25470"	"0.7960408"	"0.7960408"	"26 / 325"	"26 / 276"
