Orthogroup	Duplications (all)	Duplications (50% support)
OG0000480	2	2
OG0000481	2	2
OG0000482	2	2
OG0000483	1	1
OG0000484	2	2
OG0000485	1	1
OG0000486	2	2
OG0000487	2	2
OG0000488	2	2
OG0000489	2	2
OG0000490	2	2
OG0000491	2	2
OG0000492	1	1
OG0000493	1	1
OG0000494	2	2
OG0000495	1	1
OG0000496	1	1
OG0000497	2	2
OG0000498	2	2
OG0000499	2	2
OG0000500	1	1
OG0000501	2	2
OG0000502	2	2
OG0000503	2	2
OG0000504	1	1
OG0000505	2	2
OG0000506	1	1
OG0000507	2	2
OG0000508	2	2
OG0000509	2	2
OG0000510	2	2
OG0000511	2	2
OG0000512	1	1
OG0000513	1	1
OG0000514	2	2
OG0000515	2	2
OG0000516	2	2
OG0000517	2	2
OG0000518	2	2
OG0000519	2	2
OG0000520	2	2
OG0000521	2	2
OG0000522	2	2
OG0000523	2	2
OG0000524	2	2
OG0000525	2	2
OG0000526	3	3
OG0000527	3	3
OG0000528	3	3
OG0000529	3	3
OG0000530	3	3
OG0000531	3	3
OG0000532	3	3
OG0000533	3	3
OG0000534	3	3
OG0000535	3	3
OG0000536	3	3
OG0000537	3	3
OG0000538	3	3
OG0000539	3	3
OG0000540	3	3
OG0000541	3	3
OG0000542	3	3
OG0000543	3	3
OG0000544	3	3
OG0000545	3	3
OG0000546	3	3
OG0000547	3	3
OG0000548	3	3
OG0000549	3	3
OG0000550	3	3
OG0000551	3	3
OG0000552	3	3
OG0000553	3	3
OG0000554	3	3
OG0000555	3	3
OG0000556	3	3
OG0000557	3	3
OG0000558	3	3
OG0000559	3	3
OG0000560	3	3
OG0000561	3	3
OG0000562	3	3
OG0000563	3	3
OG0000564	3	3
OG0000565	3	3
OG0000566	3	3
OG0000567	3	3
OG0000568	3	3
OG0000569	3	3
OG0000570	3	3
OG0000571	3	3
OG0000572	3	3
OG0000573	3	3
OG0000574	3	3
OG0000575	3	3
OG0000576	3	3
OG0000577	3	3
OG0000578	3	3
OG0000579	3	3
OG0000580	3	3
OG0000581	3	3
OG0000582	3	3
OG0000583	3	3
OG0000584	3	3
OG0000585	3	3
OG0000586	3	3
OG0000587	3	3
OG0000588	3	3
OG0000589	3	3
OG0000590	3	3
OG0000591	3	3
OG0000592	3	3
OG0000593	3	3
OG0000594	3	3
OG0000595	3	3
OG0000596	3	3
OG0000597	3	3
OG0000598	3	3
OG0000599	3	3
OG0000600	3	3
OG0000601	3	3
OG0000602	3	3
OG0000603	3	3
OG0000604	3	3
OG0000605	3	3
OG0000606	3	3
OG0000607	3	3
OG0000608	3	3
OG0000609	3	3
OG0000610	3	3
OG0000611	3	3
OG0000612	3	3
